gene,expression,patient,sample,oncoGene
G30,8.686833570316475,healthy,S26,TRUE
G40,6.741502971409464,healthy,S26,FALSE
G71,7.249058528977033,healthy,S26,TRUE
G28,7.243665384836307,healthy,S26,FALSE
G108,8.072985302378168,healthy,S26,FALSE
G97,8.218899097210256,healthy,S26,FALSE
G5,6.941668175866289,healthy,S26,FALSE
G66,6.910743079447206,healthy,S26,FALSE
G88,8.473997036328623,healthy,S26,FALSE
G6,6.164326871734303,healthy,S26,FALSE
G107,6.886992958325843,healthy,S26,FALSE
G61,9.279196615349086,healthy,S26,FALSE
G80,8.904593178918411,healthy,S26,FALSE
G14,9.448811239601618,healthy,S26,FALSE
G63,9.15245385839131,healthy,S26,FALSE
G43,5.998742355403042,healthy,S26,TRUE
G41,7.911890087296657,healthy,S26,FALSE
G72,8.431505499983837,healthy,S26,FALSE
G39,7.845571675349653,healthy,S26,FALSE
G37,7.501230274539665,healthy,S26,FALSE
G93,8.581931343724996,healthy,S26,FALSE
G33,6.806016388545276,healthy,S26,FALSE
G18,7.755746687686258,healthy,S26,FALSE
G114,8.022956403741585,healthy,S26,FALSE
G103,7.709220035105567,healthy,S26,FALSE
G48,8.146679276689671,healthy,S26,FALSE
G110,8.137863965992606,healthy,S26,TRUE
G38,3.976232971578362,healthy,S26,FALSE
G68,8.706164134698009,healthy,S26,TRUE
G11,8.571365138372718,healthy,S26,FALSE
G84,7.667206461029508,healthy,S26,FALSE
G106,7.87091390348464,healthy,S26,FALSE
G78,6.708000182507445,healthy,S26,FALSE
G16,8.496714758061241,healthy,S26,TRUE
G102,7.170636817295258,healthy,S26,FALSE
G65,7.785275193209781,healthy,S26,FALSE
G46,8.840402287733006,healthy,S26,FALSE
G94,6.7915171517193444,healthy,S26,FALSE
G69,6.3537212983732925,healthy,S26,FALSE
G116,9.636143852061814,healthy,S26,FALSE
G67,6.658741015659588,healthy,S26,FALSE
G87,9.265323709048,healthy,S26,FALSE
G89,8.743880492664205,healthy,S26,FALSE
G42,8.6886554828332,healthy,S26,FALSE
G49,7.650603646756561,healthy,S26,FALSE
G34,7.734939107993912,healthy,S26,FALSE
G50,8.565270257877572,healthy,S26,FALSE
G8,7.113148681221181,healthy,S26,FALSE
G79,8.274713326063752,healthy,S26,TRUE
G112,7.128128192961923,healthy,S26,TRUE
G109,6.197923325979559,healthy,S26,TRUE
G92,8.78069295442518,healthy,S26,FALSE
G58,9.287645175108855,healthy,S26,FALSE
G7,8.089207834649809,healthy,S26,TRUE
G101,7.463294789514343,healthy,S26,FALSE
G77,8.373991616721442,healthy,S26,FALSE
G31,8.360135589344846,healthy,S26,FALSE
G9,6.9837952597096224,healthy,S26,FALSE
G64,8.299883254847552,healthy,S26,FALSE
G35,8.513264862329807,healthy,S26,FALSE
G98,7.358111607515248,healthy,S26,FALSE
G113,6.636018004934,healthy,S26,FALSE
G22,6.958012801232217,healthy,S26,FALSE
G25,8.179095566671855,healthy,S26,FALSE
G2,8.502808659877461,healthy,S26,FALSE
G32,8.506695128672328,healthy,S26,FALSE
G81,7.9727663990699655,healthy,S26,FALSE
G15,7.883337079744915,healthy,S26,FALSE
G51,7.617574109471818,healthy,S26,FALSE
G44,7.286758867900389,healthy,S26,FALSE
G20,7.686640491195263,healthy,S26,FALSE
G95,8.852991533903134,healthy,S26,FALSE
G111,7.7033482578474475,healthy,S26,TRUE
G62,8.076501312162014,healthy,S26,FALSE
G70,9.324895803160333,healthy,S26,FALSE
G24,7.943446470795098,healthy,S26,FALSE
G96,8.599643949477935,healthy,S26,FALSE
G56,7.868798211224543,healthy,S26,FALSE
G115,8.652764987326268,healthy,S26,FALSE
G36,8.413724120725899,healthy,S26,FALSE
G47,9.855964461800546,healthy,S26,FALSE
G17,7.624216812884658,healthy,S26,FALSE
G19,7.95687807277165,healthy,S26,TRUE
G57,7.5072093023700655,healthy,S26,FALSE
G60,7.605345280470824,healthy,S26,FALSE
G26,8.565671513566215,healthy,S26,FALSE
G27,8.276725597849358,healthy,S26,FALSE
G91,8.033621953999496,healthy,S26,FALSE
G3,7.1948127521546725,healthy,S26,FALSE
G75,8.053836856444223,healthy,S26,FALSE
G45,8.32459878053185,healthy,S26,FALSE
G104,8.426930861555544,healthy,S26,FALSE
G10,7.6474753685609835,healthy,S26,FALSE
G83,7.913237365753157,healthy,S26,FALSE
G74,7.043421193037352,healthy,S26,FALSE
G53,8.096725554868463,healthy,S26,FALSE
G100,7.575359691839,healthy,S26,FALSE
G54,7.632274733745531,healthy,S26,FALSE
G99,9.12169771064965,healthy,S26,FALSE
G55,7.680623680748379,healthy,S26,FALSE
G59,7.139045672476006,healthy,S26,FALSE
G86,6.915225642413157,healthy,S26,FALSE
G1,8.254605284243336,healthy,S26,FALSE
G52,7.678199786188272,healthy,S26,FALSE
G12,6.906038824610255,healthy,S26,FALSE
G105,9.214021586489833,healthy,S26,FALSE
G73,6.6004714007590115,healthy,S26,FALSE
G29,8.70733812406636,healthy,S26,FALSE
G76,6.313317938378324,healthy,S26,FALSE
G85,7.022772076282939,healthy,S26,FALSE
G21,6.948174619638136,healthy,S26,FALSE
G23,9.935358432325403,healthy,S26,TRUE
G13,7.48823127015871,healthy,S26,FALSE
G4,9.030434273909012,healthy,S26,FALSE
G90,7.653639748067192,healthy,S26,TRUE
G82,8.766951045015562,healthy,S26,FALSE
G30,10.210189049700007,cancer,S73,TRUE
G40,9.290521163615681,cancer,S73,FALSE
G71,7.971159119075331,cancer,S73,TRUE
G28,7.561824729523365,cancer,S73,FALSE
G108,8.799668167033396,cancer,S73,FALSE
G97,6.881121485668608,cancer,S73,FALSE
G5,8.256075177107224,cancer,S73,FALSE
G66,8.13423200318147,cancer,S73,FALSE
G88,7.0955545683299,cancer,S73,FALSE
G6,8.624945262740052,cancer,S73,FALSE
G107,8.075668860278492,cancer,S73,FALSE
G61,7.901813998559826,cancer,S73,FALSE
G80,8.971150507573116,cancer,S73,FALSE
G14,9.799290408686105,cancer,S73,FALSE
G63,7.706675944621727,cancer,S73,FALSE
G43,11.157710963530366,cancer,S73,TRUE
G41,7.352749872046289,cancer,S73,FALSE
G72,7.700460659886104,cancer,S73,FALSE
G39,4.56174631584042,cancer,S73,FALSE
G37,7.524490069192174,cancer,S73,FALSE
G93,8.677306320952576,cancer,S73,FALSE
G33,9.127381049632005,cancer,S73,FALSE
G18,6.675350568249199,cancer,S73,FALSE
G114,8.500171921383874,cancer,S73,FALSE
G103,8.645256551185092,cancer,S73,FALSE
G48,7.212963384968018,cancer,S73,FALSE
G110,7.969774634583672,cancer,S73,TRUE
G38,10.293994595227119,cancer,S73,FALSE
G68,11.97584862442605,cancer,S73,TRUE
G11,7.9762977999747875,cancer,S73,FALSE
G84,7.72328513571673,cancer,S73,FALSE
G106,8.170610603518346,cancer,S73,FALSE
G78,7.489165034494453,cancer,S73,FALSE
G16,12.264378612783986,cancer,S73,TRUE
G102,9.170445580741642,cancer,S73,FALSE
G65,7.691504221806684,cancer,S73,FALSE
G46,8.025343704299344,cancer,S73,FALSE
G94,8.638483104302809,cancer,S73,FALSE
G69,9.466880796602128,cancer,S73,FALSE
G116,6.827963333579766,cancer,S73,FALSE
G67,8.595070009682987,cancer,S73,FALSE
G87,6.050608513992335,cancer,S73,FALSE
G89,9.336205057722818,cancer,S73,FALSE
G42,6.545369172879947,cancer,S73,FALSE
G49,7.602175736626288,cancer,S73,FALSE
G34,8.015019638566008,cancer,S73,FALSE
G50,7.457798881259301,cancer,S73,FALSE
G8,8.559475994837374,cancer,S73,FALSE
G79,10.044162962916596,cancer,S73,TRUE
G112,9.1738569534711,cancer,S73,TRUE
G109,9.1875718823322,cancer,S73,TRUE
G92,9.993134445907671,cancer,S73,FALSE
G58,7.642944379473266,cancer,S73,FALSE
G7,9.588288862609556,cancer,S73,TRUE
G101,7.624264497492194,cancer,S73,FALSE
G77,7.762186372369937,cancer,S73,FALSE
G31,8.269472324499823,cancer,S73,FALSE
G9,6.997569500122895,cancer,S73,FALSE
G64,9.596526267462236,cancer,S73,FALSE
G35,8.69103555421958,cancer,S73,FALSE
G98,7.220439643452469,cancer,S73,FALSE
G113,7.0179165561270125,cancer,S73,FALSE
G22,7.883309751871665,cancer,S73,FALSE
G25,9.793409435805806,cancer,S73,FALSE
G2,9.538940809930013,cancer,S73,FALSE
G32,8.6846939102569,cancer,S73,FALSE
G81,8.722916447708986,cancer,S73,FALSE
G15,7.129560219322352,cancer,S73,FALSE
G51,8.90374208998278,cancer,S73,FALSE
G44,7.073715976550473,cancer,S73,FALSE
G20,7.515183799706289,cancer,S73,FALSE
G95,7.484558026931808,cancer,S73,FALSE
G111,7.55825060993843,cancer,S73,TRUE
G62,6.737076428478626,cancer,S73,FALSE
G70,6.605653923174987,cancer,S73,FALSE
G24,9.264418876585175,cancer,S73,FALSE
G96,5.662994625293953,cancer,S73,FALSE
G56,6.8430272258912055,cancer,S73,FALSE
G115,9.082166061837686,cancer,S73,FALSE
G36,7.294724069293201,cancer,S73,FALSE
G47,6.614998062835078,cancer,S73,FALSE
G17,9.125739762365733,cancer,S73,FALSE
G19,11.291966917934747,cancer,S73,TRUE
G57,7.347682590008471,cancer,S73,FALSE
G60,8.422356941465889,cancer,S73,FALSE
G26,8.803066124357422,cancer,S73,FALSE
G27,7.389496011510356,cancer,S73,FALSE
G91,7.310517091310372,cancer,S73,FALSE
G3,9.159475472752323,cancer,S73,FALSE
G75,7.0031676510922365,cancer,S73,FALSE
G45,7.417578507206096,cancer,S73,FALSE
G104,7.575656562219488,cancer,S73,FALSE
G10,7.5865745023295,cancer,S73,FALSE
G83,7.929080978417372,cancer,S73,FALSE
G74,10.993184769530682,cancer,S73,FALSE
G53,6.923133571217163,cancer,S73,FALSE
G100,7.703603665306398,cancer,S73,FALSE
G54,7.20503442365829,cancer,S73,FALSE
G99,8.777381508037212,cancer,S73,FALSE
G55,8.247703591577496,cancer,S73,FALSE
G59,8.489242957091658,cancer,S73,FALSE
G86,7.149368782990597,cancer,S73,FALSE
G1,7.628961419530284,cancer,S73,FALSE
G52,8.681393692316558,cancer,S73,FALSE
G12,7.882895390367385,cancer,S73,FALSE
G105,9.001629900037738,cancer,S73,FALSE
G73,9.804242376521438,cancer,S73,FALSE
G29,6.966047954641464,cancer,S73,FALSE
G76,6.789918454406022,cancer,S73,FALSE
G85,6.532536907561446,cancer,S73,FALSE
G21,6.914709764315105,cancer,S73,FALSE
G23,15.176908528460697,cancer,S73,TRUE
G13,7.997380700560554,cancer,S73,FALSE
G4,8.046813475415732,cancer,S73,FALSE
G90,10.388456042008652,cancer,S73,TRUE
G82,8.43197956117227,cancer,S73,FALSE
G30,7.559808486125635,healthy,S14,TRUE
G40,8.219550233887261,healthy,S14,FALSE
G71,8.035307326718588,healthy,S14,TRUE
G28,7.954770418910527,healthy,S14,FALSE
G108,8.090661461739401,healthy,S14,FALSE
G97,8.384764835856855,healthy,S14,FALSE
G5,8.152922621384233,healthy,S14,FALSE
G66,7.904330037276466,healthy,S14,FALSE
G88,7.845767583562037,healthy,S14,FALSE
G6,9.096916271785403,healthy,S14,FALSE
G107,6.883466493572365,healthy,S14,FALSE
G61,8.321442796753402,healthy,S14,FALSE
G80,6.8901673960681435,healthy,S14,FALSE
G14,8.96582649553975,healthy,S14,FALSE
G63,6.148793043575113,healthy,S14,FALSE
G43,9.109195765465639,healthy,S14,TRUE
G41,8.057941498013777,healthy,S14,FALSE
G72,10.427294279610344,healthy,S14,FALSE
G39,7.42732734111618,healthy,S14,FALSE
G37,7.994023795003443,healthy,S14,FALSE
G93,6.7583499037144055,healthy,S14,FALSE
G33,7.890762166420066,healthy,S14,FALSE
G18,8.704034970908248,healthy,S14,FALSE
G114,4.517515186350245,healthy,S14,FALSE
G103,9.361913958495121,healthy,S14,FALSE
G48,10.66473096572659,healthy,S14,FALSE
G110,8.653713046467699,healthy,S14,TRUE
G38,9.15101675780916,healthy,S14,FALSE
G68,6.924056262553761,healthy,S14,TRUE
G11,8.94907290381223,healthy,S14,FALSE
G84,6.330876008314247,healthy,S14,FALSE
G106,8.193738070668497,healthy,S14,FALSE
G78,10.173809449354831,healthy,S14,FALSE
G16,8.772689794884737,healthy,S14,TRUE
G102,8.93639404875873,healthy,S14,FALSE
G65,9.368050799752591,healthy,S14,FALSE
G46,7.50566586246819,healthy,S14,FALSE
G94,7.882898530392277,healthy,S14,FALSE
G69,8.804621022059779,healthy,S14,FALSE
G116,5.578900087831512,healthy,S14,FALSE
G67,7.871865441759924,healthy,S14,FALSE
G87,9.579898168189455,healthy,S14,FALSE
G89,9.44171543107237,healthy,S14,FALSE
G42,7.7283590810720515,healthy,S14,FALSE
G49,9.558545873425489,healthy,S14,FALSE
G34,10.56208970863228,healthy,S14,FALSE
G50,8.640550629797636,healthy,S14,FALSE
G8,7.92868950700933,healthy,S14,FALSE
G79,6.462293411034797,healthy,S14,TRUE
G112,7.023309270866901,healthy,S14,TRUE
G109,8.447829242726817,healthy,S14,TRUE
G92,8.131691860526917,healthy,S14,FALSE
G58,7.8771815866934105,healthy,S14,FALSE
G7,8.401371859570839,healthy,S14,TRUE
G101,9.34897443826762,healthy,S14,FALSE
G77,7.174113456555582,healthy,S14,FALSE
G31,7.287793254949914,healthy,S14,FALSE
G9,8.096960050325448,healthy,S14,FALSE
G64,7.572878005298401,healthy,S14,FALSE
G35,7.178619593983699,healthy,S14,FALSE
G98,6.799826963709682,healthy,S14,FALSE
G113,7.182676280394835,healthy,S14,FALSE
G22,10.448598734217667,healthy,S14,FALSE
G25,7.056313623238019,healthy,S14,FALSE
G2,9.742672215850888,healthy,S14,FALSE
G32,10.025166437487195,healthy,S14,FALSE
G81,7.146313235499895,healthy,S14,FALSE
G15,6.9137108087635335,healthy,S14,FALSE
G51,8.402180026810946,healthy,S14,FALSE
G44,8.278863803674156,healthy,S14,FALSE
G20,9.445279607591214,healthy,S14,FALSE
G95,8.051501692770076,healthy,S14,FALSE
G111,5.421656327493252,healthy,S14,TRUE
G62,8.03646775278302,healthy,S14,FALSE
G70,8.200576009472307,healthy,S14,FALSE
G24,9.892542002924747,healthy,S14,FALSE
G96,9.379627617774949,healthy,S14,FALSE
G56,8.045841072424482,healthy,S14,FALSE
G115,7.54031758142079,healthy,S14,FALSE
G36,7.883925968854559,healthy,S14,FALSE
G47,7.179941441292949,healthy,S14,FALSE
G17,6.18503911258289,healthy,S14,FALSE
G19,8.049913635360284,healthy,S14,TRUE
G57,8.039122899827076,healthy,S14,FALSE
G60,8.885559180106192,healthy,S14,FALSE
G26,8.864811539538785,healthy,S14,FALSE
G27,7.466859218155911,healthy,S14,FALSE
G91,9.153977034154158,healthy,S14,FALSE
G3,7.562279006842978,healthy,S14,FALSE
G75,7.816138279449218,healthy,S14,FALSE
G45,7.566240327050127,healthy,S14,FALSE
G104,7.206389921988462,healthy,S14,FALSE
G10,6.710389556984332,healthy,S14,FALSE
G83,9.04357821522142,healthy,S14,FALSE
G74,7.03183202256035,healthy,S14,FALSE
G53,7.743355865413087,healthy,S14,FALSE
G100,8.875076426100122,healthy,S14,FALSE
G54,9.932722533446126,healthy,S14,FALSE
G99,7.398409273187504,healthy,S14,FALSE
G55,8.915915128611552,healthy,S14,FALSE
G59,8.76269359107575,healthy,S14,FALSE
G86,8.74025824070781,healthy,S14,FALSE
G1,7.712185887920291,healthy,S14,FALSE
G52,7.623991528460389,healthy,S14,FALSE
G12,7.605140121383341,healthy,S14,FALSE
G105,7.991494381325322,healthy,S14,FALSE
G73,7.693245130153093,healthy,S14,FALSE
G29,7.020587196987821,healthy,S14,FALSE
G76,8.691904573798249,healthy,S14,FALSE
G85,7.929839835660828,healthy,S14,FALSE
G21,8.794011327060323,healthy,S14,FALSE
G23,7.940992895255114,healthy,S14,TRUE
G13,7.879689348434288,healthy,S14,FALSE
G4,6.864481299489713,healthy,S14,FALSE
G90,7.528900882791956,healthy,S14,TRUE
G82,9.573268375909024,healthy,S14,FALSE
G30,9.4785215497018,unknown,S78,TRUE
G40,8.620166846044883,unknown,S78,FALSE
G71,7.7990880026651235,unknown,S78,TRUE
G28,8.370773997464466,unknown,S78,FALSE
G108,8.42624727404542,unknown,S78,FALSE
G97,8.247329546587789,unknown,S78,FALSE
G5,6.121784729961466,unknown,S78,FALSE
G66,7.516130607064119,unknown,S78,FALSE
G88,7.392009669034072,unknown,S78,FALSE
G6,8.352979554953494,unknown,S78,FALSE
G107,9.507601281327018,unknown,S78,FALSE
G61,10.12603469110287,unknown,S78,FALSE
G80,8.353448405888283,unknown,S78,FALSE
G14,6.749468857686631,unknown,S78,FALSE
G63,7.784256621087522,unknown,S78,FALSE
G43,10.64525446591707,unknown,S78,TRUE
G41,7.043422837494207,unknown,S78,FALSE
